,-2-4-,-2-3-,dip_x,dip_y,dip_z,Total,"Dist(1, 2)","Dist(2, 4)","Dist(2, 3)",NPA_1,NPA_2,NPA_4,NPA_3,diff 1 2,diff 2 4,diff 2 3,B1,B5,L,loc.B5
2BJ,1811.7833,2948.3438,-3.494,-4.1556,0.0015,5.4293,1.451069842,1.207587964,1.108101433,-0.24567,0.41471,-0.53845,0.1045,0.66038,0.95316,0.31021,1.7,5.4,7.18,3.17
2BK,1847.1028,2960.1367,-3.5294,-3.1458,0.0003,4.7278,1.483930778,1.199841176,1.107663298,-0.18504,0.42443,-0.50107,0.10746,0.60947,0.9255,0.31697,1.7,4.91,7.4,3.75
2BL,1846.908,2955.0406,-3.1011,-2.6988,-0.0005,4.111,1.484920987,1.200018396,1.107809923,-0.13288,0.42585,-0.50457,0.10456,0.55873,0.93042,0.32129,1.7,4.14,6.73,3.68
2BM,1852.2336,2969.838,-1.644,0.2726,0.0002,1.6665,1.486883502,1.198793288,1.106300093,-0.16694,0.42341,-0.49232,0.11575,0.59035,0.91573,0.30766,2.42,4.9,7.36,3.57
2BN,1803.1579,3017.9975,-6.8374,-0.9178,0.0054,6.8986,1.478851545,1.209459497,1.101662013,-0.18124,0.44787,-0.53536,0.12956,0.62911,0.98323,0.31831,1.7,4.75,6.7,2.94
2BO,1751.7997,3050.6833,-2.5676,-2.1251,0.0006,3.333,1.450932222,1.22386668,1.098026882,-0.28314,0.41948,-0.5828,0.12982,0.70262,1.00228,0.28966,1.7,5.61,6.89,1.96
2BP,1847.1599,3041.2355,-1.4905,-0.9848,0.002,1.7865,1.493801492,1.197799702,1.099614143,-0.29303,0.40748,-0.47409,0.13756,0.70051,0.88157,0.26992,1.8,4.53,6.66,1.42
2BQ,1844.2948,3021.006,-1.7957,-3.9543,0.0009,4.343,1.485306859,1.199883001,1.101605167,-0.31179,0.40916,-0.48485,0.13028,0.72095,0.89401,0.27888,1.7,3.69,6.77,1.48
2BR,1849.207,2967.8301,-3.5159,0.0213,0.0015,3.516,1.485408116,1.200013702,1.107033355,-0.15452,0.42166,-0.49996,0.10959,0.57618,0.92162,0.31207,1.7,3.16,8.17,4.1
2BS,1848.2345,3025.6338,-1.6857,-0.904,0,1.9128,1.489308516,1.198069939,1.101379877,-0.29152,0.40752,-0.47388,0.13574,0.69904,0.8814,0.27178,1.7,3.79,7.35,4.18
2BT,1852.1337,2965.3094,-1.7697,-0.1611,0,1.7771,1.488166913,1.199147258,1.106804155,-0.14252,0.42246,-0.4939,0.11134,0.56498,0.91636,0.31112,1.7,3.15,6.36,1.66
2BU,1843.4186,2967.438,-3.1885,-1.8811,1.0291,3.8423,1.483794152,1.200604507,1.106880578,-0.15315,0.42861,-0.50705,0.11102,0.58176,0.93566,0.31759,1.95,5.91,6.73,0.82
2BV,1836.2731,3005.9251,1.1862,-1.7919,0.0825,2.1505,1.491331345,1.201988553,1.100619386,-0.13896,0.41244,-0.50248,0.11596,0.5514,0.91492,0.29648,1.71,4.89,6.75,2.36
2BW,1832.9761,2941.2351,-1.688,-3.1699,-0.0002,3.5913,1.474919415,1.203160555,1.108726492,-0.19642,0.42568,-0.52376,0.10139,0.6221,0.94944,0.32429,1.89,5.38,8.8,4.39